Student_ID,Gender,Age,Branch,Year,Attendance,Study_Hours,Coding_Hours,Assignment_Score,Internal_Marks,Final_Exam,CGPA,Projects,Certifications,Internship,Extra_Curricular,Placement,Company_Tier,Salary_LPA
STU0001,Male,20,CSE,2,75.0,2.5,2.2,65.5,80.8,72.6,7.18,0,2,Yes,Yes,No,Not Placed,0.0
STU0002,Female,20,CSE,4,76.7,3.8,1.2,85.6,72.3,90.7,8.59,2,3,Yes,No,Yes,Tier 2,12.92
STU0003,Female,23,CSE,4,93.3,4.2,0.4,86.6,73.0,89.8,8.55,3,2,Yes,No,Yes,Tier 2,9.63
STU0004,Female,21,IT,1,71.8,5.3,2.5,63.6,64.0,100.0,8.02,2,3,Yes,Yes,Yes,Tier 2,14.94
STU0005,Male,20,ECE,2,85.9,3.5,1.3,70.6,74.0,87.4,8.91,2,5,No,Yes,Yes,Tier 2,9.26
STU0006,Male,22,Mechanical,1,85.9,5.6,5.1,66.6,84.9,92.8,8.74,1,6,No,Yes,No,Not Placed,0.0
STU0007,Male,20,CSE,3,93.7,2.4,2.9,68.2,77.8,64.3,7.69,4,3,Yes,No,Yes,Tier 3,5.4
STU0008,Female,22,ECE,1,85.9,4.1,1.4,71.1,77.8,95.2,8.38,1,4,Yes,Yes,Yes,Tier 2,8.95
STU0009,Female,20,Mechanical,2,78.6,3.5,1.8,78.9,68.8,84.2,7.53,5,3,Yes,No,Yes,Tier 3,5.98
STU0010,Female,22,ECE,1,78.7,2.2,2.3,43.0,71.2,43.1,6.44,4,4,No,No,Yes,Tier 3,5.72
STU0011,Male,20,Civil,2,82.0,1.8,2.6,78.3,74.7,81.2,8.14,1,1,Yes,Yes,No,Not Placed,0.0
STU0012,Female,20,CSE,4,91.1,3.3,3.4,84.3,73.1,83.2,7.61,2,4,Yes,No,Yes,Tier 3,7.25
STU0013,Female,19,CSE,2,88.5,3.4,4.2,56.6,73.0,72.5,7.47,1,0,No,No,No,Not Placed,0.0
STU0014,Male,22,IT,3,73.3,2.7,2.4,65.6,67.5,73.5,5.99,0,0,No,No,No,Not Placed,0.0
STU0015,Male,22,CSE,2,84.2,4.7,3.2,67.8,89.1,84.2,7.98,1,4,No,Yes,No,Not Placed,0.0
STU0016,Male,22,ECE,3,88.6,3.3,3.1,72.4,79.8,89.6,8.75,0,0,Yes,No,Yes,Tier 2,13.98
STU0017,Male,18,IT,3,80.1,2.6,2.6,70.8,67.9,64.0,6.58,2,4,No,Yes,No,Not Placed,0.0
STU0018,Male,20,CSE,1,64.7,3.5,2.2,63.1,74.1,78.5,7.54,2,1,Yes,No,No,Not Placed,0.0
STU0019,Male,22,CSE,3,80.4,3.0,2.7,58.3,82.4,64.9,7.22,2,0,No,No,Yes,Tier 3,7.43
STU0020,Male,23,IT,2,70.1,5.8,1.5,76.6,62.7,100.0,7.64,2,3,No,Yes,No,Not Placed,0.0
STU0021,Female,18,ECE,4,68.9,3.4,0.8,59.1,82.5,78.1,7.76,3,5,Yes,No,Yes,Tier 3,4.15
STU0022,Male,19,ECE,2,90.5,2.7,4.7,95.8,83.3,83.5,7.96,4,2,No,Yes,Yes,Tier 3,4.72
STU0023,Male,22,CSE,4,100.0,5.8,2.8,72.5,88.4,91.8,8.16,4,6,No,No,Yes,Tier 2,12.47
STU0024,Male,22,CSE,3,92.9,4.7,2.9,67.6,84.3,93.8,8.42,1,1,No,No,Yes,Tier 2,12.21
STU0025,Male,18,CSE,1,61.1,3.9,2.2,61.2,68.3,80.8,7.01,2,5,No,Yes,Yes,Tier 3,7.23
STU0026,Female,20,CSE,3,80.6,2.8,3.2,76.5,74.4,63.9,6.97,2,0,No,No,No,Not Placed,0.0
STU0027,Male,23,Civil,3,77.3,4.7,2.2,77.7,78.8,97.5,8.43,3,1,Yes,Yes,Yes,Tier 2,13.42
STU0028,Male,19,CSE,4,70.2,2.0,0.2,55.7,67.5,63.1,7.54,0,5,No,No,No,Not Placed,0.0
STU0029,Female,22,Mechanical,2,85.7,4.6,1.7,69.5,90.4,91.3,8.24,1,3,Yes,No,Yes,Tier 2,9.51
STU0030,Male,20,Civil,1,80.5,4.1,3.4,84.2,59.3,89.1,7.87,0,3,No,No,No,Not Placed,0.0
STU0031,Female,23,CSE,1,72.7,5.0,1.6,62.0,64.1,100.0,7.54,3,2,Yes,No,Yes,Tier 3,5.38
STU0032,Male,23,IT,1,65.5,1.0,0.0,68.1,70.6,68.7,8.05,0,0,No,No,No,Not Placed,0.0
STU0033,Male,19,Civil,1,77.1,2.7,2.1,52.3,72.9,54.2,6.71,2,2,Yes,Yes,No,Not Placed,0.0
STU0034,Female,21,Mechanical,2,82.1,2.6,0.0,57.3,72.0,72.9,7.37,3,3,Yes,No,Yes,Tier 3,6.26
STU0035,Female,23,IT,1,81.1,2.5,2.0,77.3,76.9,77.1,7.84,3,4,No,No,No,Not Placed,0.0
STU0036,Female,21,Mechanical,4,90.5,4.3,4.3,73.6,70.5,84.9,7.74,1,5,Yes,Yes,Yes,Tier 3,7.45
STU0037,Male,23,Mechanical,4,84.7,3.4,0.6,77.6,69.1,81.1,7.35,0,6,Yes,No,Yes,Tier 3,6.1
STU0038,Male,19,IT,1,79.2,2.8,3.5,63.5,73.6,68.4,6.77,0,3,No,No,No,Not Placed,0.0
STU0039,Female,18,Civil,1,75.5,2.5,5.1,53.3,75.8,70.1,7.36,0,1,Yes,No,No,Not Placed,0.0
STU0040,Male,19,IT,2,67.8,2.6,4.4,63.0,63.2,63.9,7.15,2,1,No,No,No,Not Placed,0.0
STU0041,Male,19,ECE,2,73.3,4.8,2.2,54.1,57.3,70.4,5.99,2,4,No,Yes,No,Not Placed,0.0
STU0042,Male,18,Civil,1,92.9,3.7,1.1,77.1,83.3,83.8,8.94,3,2,No,No,Yes,Tier 2,12.83
STU0043,Male,18,Mechanical,2,88.9,4.8,2.8,66.2,83.3,98.6,8.3,0,2,Yes,No,Yes,Tier 2,10.7
STU0044,Female,20,IT,3,84.3,7.0,2.8,76.6,68.4,100.0,8.38,3,2,No,No,Yes,Tier 2,8.68
STU0045,Male,23,CSE,1,78.0,3.8,3.9,65.7,70.9,77.6,7.14,2,3,No,Yes,No,Not Placed,0.0
STU0046,Female,20,ECE,2,91.9,2.1,2.6,73.1,88.2,71.4,7.68,2,6,Yes,Yes,Yes,Tier 3,5.77
STU0047,Male,18,Mechanical,4,73.9,3.6,3.1,68.4,62.7,89.8,7.8,2,5,Yes,No,Yes,Tier 3,4.64
STU0048,Male,21,ECE,1,74.0,6.1,1.1,73.1,71.7,100.0,8.28,4,1,Yes,Yes,Yes,Tier 2,10.51
STU0049,Male,21,Civil,1,81.3,5.1,3.6,71.2,70.3,100.0,8.38,2,6,Yes,No,No,Not Placed,0.0
STU0050,Male,19,Civil,4,64.5,3.0,0.6,74.7,84.7,88.5,8.33,4,4,Yes,No,Yes,Tier 2,10.12
STU0051,Female,22,IT,4,73.7,3.4,1.6,79.5,62.0,80.3,7.5,0,2,No,No,No,Not Placed,0.0
STU0052,Female,19,CSE,2,80.1,4.7,3.4,63.4,60.5,87.9,7.73,3,3,No,No,No,Not Placed,0.0
STU0053,Female,19,IT,4,78.3,4.4,4.4,59.1,79.0,97.1,7.59,2,3,Yes,Yes,Yes,Tier 3,4.98
STU0054,Female,22,ECE,3,74.1,4.7,3.5,56.0,69.4,75.6,7.17,1,3,Yes,No,Yes,Tier 3,6.74
STU0055,Female,23,ECE,1,98.3,3.5,2.5,93.5,75.9,91.2,8.66,1,3,No,No,No,Not Placed,0.0
STU0056,Female,18,ECE,3,92.9,4.3,2.5,66.4,77.5,100.0,8.86,1,1,No,Yes,No,Not Placed,0.0
STU0057,Male,21,IT,2,95.7,3.4,1.1,74.5,95.0,97.5,8.5,1,3,Yes,No,No,Not Placed,0.0
STU0058,Male,19,CSE,4,81.2,5.5,1.9,69.7,75.6,100.0,8.32,3,2,No,No,Yes,Tier 2,9.41
STU0059,Male,22,CSE,1,78.1,2.0,0.0,82.1,85.8,57.7,6.99,2,4,No,Yes,Yes,Tier 3,6.71
STU0060,Male,20,ECE,4,94.8,2.0,5.0,66.7,72.5,60.5,6.7,1,4,Yes,Yes,Yes,Tier 3,4.16
STU0061,Male,19,CSE,4,82.7,2.9,5.8,79.2,85.0,84.4,8.06,3,2,No,Yes,No,Not Placed,0.0
STU0062,Male,21,IT,2,73.5,3.0,0.0,65.5,64.0,66.4,6.57,1,1,No,Yes,No,Not Placed,0.0
STU0063,Female,18,IT,2,74.1,2.0,0.3,64.7,81.9,81.1,7.51,4,6,Yes,No,Yes,Tier 3,6.7
STU0064,Male,19,ECE,2,79.4,1.8,4.5,68.5,83.9,60.4,7.98,2,4,Yes,Yes,Yes,Tier 3,4.17
STU0065,Male,19,CSE,2,81.8,5.1,1.3,64.4,67.9,100.0,8.31,2,5,Yes,No,Yes,Tier 2,9.25
STU0066,Male,23,Mechanical,1,82.7,3.6,4.6,67.2,79.7,78.6,7.65,3,2,No,No,Yes,Tier 3,6.01
STU0067,Male,22,ECE,3,80.5,3.5,3.6,63.5,76.9,79.2,7.98,1,1,No,No,No,Not Placed,0.0
STU0068,Female,20,ECE,3,100.0,3.9,2.0,69.5,92.5,83.7,7.7,0,3,No,No,No,Not Placed,0.0
STU0069,Male,20,Mechanical,1,71.2,5.7,3.9,54.7,61.5,89.8,7.86,3,2,No,No,Yes,Tier 3,7.95
STU0070,Female,18,CSE,4,87.4,3.9,2.4,82.5,75.4,87.0,7.36,4,5,No,Yes,Yes,Tier 3,6.55
STU0071,Female,21,IT,1,78.2,3.7,2.4,65.2,74.5,85.2,7.99,3,3,No,Yes,Yes,Tier 3,4.01
STU0072,Male,18,Civil,3,81.7,3.0,3.3,75.3,87.9,76.0,7.53,2,4,Yes,No,Yes,Tier 3,7.1
STU0073,Male,19,Mechanical,3,89.5,4.5,3.7,72.8,80.2,87.9,8.4,1,4,Yes,Yes,Yes,Tier 2,10.38
STU0074,Female,19,Civil,1,67.7,3.7,4.0,60.7,61.1,82.3,8.39,5,0,No,No,Yes,Tier 2,14.94
STU0075,Female,20,Mechanical,2,74.4,5.8,6.0,65.3,74.8,100.0,8.51,0,1,No,No,Yes,Tier 2,12.24
STU0076,Female,21,CSE,4,80.9,3.6,3.0,75.3,67.3,97.4,7.52,2,2,Yes,Yes,Yes,Tier 3,7.7
STU0077,Female,22,CSE,1,93.8,5.0,4.4,71.1,68.4,87.6,7.5,4,3,Yes,Yes,Yes,Tier 3,4.2
STU0078,Male,21,ECE,3,93.8,2.9,4.4,75.4,80.6,70.5,7.58,2,3,Yes,No,Yes,Tier 3,5.48
STU0079,Male,19,IT,2,92.2,2.9,3.5,82.9,83.3,90.8,8.84,3,1,Yes,Yes,Yes,Tier 2,10.01
STU0080,Male,22,CSE,4,64.5,1.6,1.7,69.1,68.8,56.6,6.08,1,3,Yes,No,No,Not Placed,0.0
STU0081,Female,21,Mechanical,3,73.6,4.8,4.1,77.4,72.2,94.8,8.91,6,3,Yes,Yes,Yes,Tier 2,10.62
STU0082,Female,21,IT,4,73.9,3.8,3.2,57.9,86.2,66.2,7.69,3,0,No,Yes,No,Not Placed,0.0
STU0083,Male,22,IT,2,81.6,4.6,0.6,64.8,88.2,94.1,8.61,3,3,Yes,Yes,Yes,Tier 2,10.13
STU0084,Male,19,Mechanical,3,67.2,5.8,4.0,60.4,62.0,98.0,8.33,2,4,Yes,Yes,Yes,Tier 2,9.95
STU0085,Male,21,Mechanical,2,90.8,2.8,0.1,64.4,87.9,78.7,7.48,4,5,Yes,Yes,Yes,Tier 3,5.92
STU0086,Male,22,IT,1,66.0,2.6,3.5,68.3,86.1,76.6,7.48,1,4,No,No,Yes,Tier 3,7.12
STU0087,Female,23,Mechanical,1,90.3,2.9,1.7,77.0,94.2,85.9,7.91,3,2,No,Yes,Yes,Tier 3,6.59
STU0088,Female,23,Civil,4,89.0,1.3,2.7,72.7,87.6,67.9,8.44,1,5,No,Yes,Yes,Tier 2,10.59
STU0089,Female,19,IT,2,73.2,3.6,0.4,73.5,70.5,79.7,7.51,1,4,Yes,Yes,Yes,Tier 3,6.36
STU0090,Male,22,CSE,2,92.1,4.9,1.4,69.6,70.6,93.7,8.14,2,1,No,Yes,No,Not Placed,0.0
STU0091,Male,23,CSE,4,79.3,3.9,1.7,77.6,67.0,89.4,8.24,1,2,No,No,Yes,Tier 2,14.35
STU0092,Female,22,ECE,4,77.3,1.9,2.3,81.5,77.9,70.6,6.79,3,3,No,Yes,Yes,Tier 3,5.07
STU0093,Female,21,IT,4,78.6,3.4,1.6,70.7,76.7,84.8,7.57,0,2,Yes,Yes,Yes,Tier 3,6.0
STU0094,Female,19,Civil,1,79.3,4.0,3.0,68.6,75.2,80.6,7.82,0,2,No,No,No,Not Placed,0.0
STU0095,Female,23,Mechanical,4,80.1,5.0,3.2,70.4,82.3,97.7,9.25,1,4,No,No,Yes,Tier 1,28.67
STU0096,Male,21,Mechanical,1,80.2,4.8,1.8,58.0,84.5,82.4,8.39,2,1,No,No,No,Not Placed,0.0
STU0097,Male,18,Civil,4,74.9,3.4,2.6,64.6,81.8,78.3,7.93,2,3,Yes,No,Yes,Tier 3,6.92
STU0098,Male,18,Civil,2,76.7,3.4,3.3,83.6,79.2,88.7,8.23,2,1,Yes,Yes,No,Not Placed,0.0
STU0099,Male,19,IT,2,77.4,4.5,0.0,84.6,77.8,87.9,8.5,6,3,No,No,Yes,Tier 2,9.22
